t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
1.172168,194.8083,202.5958,2.595834,0
1.181545,194.8139,202.5930,2.593039,0
1.190923,194.8194,202.5903,2.590280,0
1.200300,194.8249,202.5876,2.587552,0
1.209677,194.8303,202.5849,2.584854,0
1.219055,194.8356,202.5822,2.582183,0
1.228432,194.8409,202.5795,2.579537,0
1.237809,194.8462,202.5769,2.576913,0
1.247187,194.8514,202.5743,2.574310,0
1.256564,194.8565,202.5717,2.571727,0
1.265941,194.8617,202.5692,2.569161,0
1.275319,194.8668,202.5666,2.566611,0
1.284696,194.8718,202.5641,2.564077,0
1.294074,194.8769,202.5616,2.561556,0
1.303451,194.8819,202.5590,2.559048,0
1.312828,194.8869,202.5566,2.556553,0
1.322206,194.8919,202.5541,2.554068,0
1.331583,194.8968,202.5516,2.551593,0
1.340960,194.9017,202.5491,2.549128,0
1.350338,194.9067,202.5467,2.546672,0
1.359715,194.9116,202.5442,2.544224,0
1.369092,194.9164,202.5418,2.541784,0
1.378470,194.9213,202.5394,2.539351,0
1.387847,194.9261,202.5369,2.536925,0
1.397224,194.9310,202.5345,2.534506,0
1.406602,194.9358,202.5321,2.532092,0
1.415979,194.9406,202.5297,2.529684,0
1.425356,194.9454,202.5273,2.527282,0
1.434734,194.9502,202.5249,2.524884,0
1.444111,194.9550,202.5225,2.522491,0
1.453488,194.9598,202.5201,2.520103,0
1.462866,194.9646,202.5177,2.517719,0
1.472243,194.9693,202.5153,2.515340,0
1.481620,194.9741,202.5130,2.512964,0
1.490998,194.9788,202.5106,2.510592,0
1.500375,194.9836,202.5082,2.508224,0
1.509752,194.9883,202.5059,2.505860,0
1.519130,194.9930,202.5035,2.503499,0
1.528507,194.9977,202.5011,2.501141,0
1.537884,195.0024,202.4988,2.498786,0
1.547262,195.0071,202.4964,2.496435,0
1.556639,195.0118,202.4941,2.494087,0
1.566017,195.0165,202.4917,2.491741,0
1.575394,195.0212,202.4894,2.489399,0
1.584771,195.0259,202.4871,2.487059,0
1.594149,195.0306,202.4847,2.484722,0
1.603526,195.0352,202.4824,2.482388,0
1.612903,195.0399,202.4801,2.480056,0
1.622281,195.0445,202.4777,2.477727,0
1.631658,195.0492,202.4754,2.475401,0
1.641035,195.0538,202.4731,2.473077,0
1.650413,195.0585,202.4708,2.470756,0
1.659790,195.0631,202.4684,2.468437,0
1.669167,195.0678,202.4661,2.466120,0
1.678545,195.0724,202.4638,2.463806,0
1.687922,195.0770,202.4615,2.461495,0
1.697299,195.0816,202.4592,2.459186,0
1.706677,195.0862,202.4569,2.456879,0
1.716054,195.0909,202.4546,2.454574,0
1.725431,195.0955,202.4523,2.452272,0
1.734809,195.1001,202.4500,2.449972,0
1.744186,195.1047,202.4477,2.447674,0
1.753563,195.1092,202.4454,2.445379,0
1.762941,195.1138,202.4431,2.443086,0
1.772318,195.1184,202.4408,2.440795,0
1.781695,195.1230,202.4385,2.438506,0
1.791073,195.1276,202.4362,2.436220,0
1.800450,195.1321,202.4339,2.433936,0
1.809827,195.1367,202.4317,2.431654,0
1.819205,195.1413,202.4294,2.429374,0
1.828582,195.1458,202.4271,2.427096,0
1.837959,195.1504,202.4248,2.424821,0
1.847337,195.1549,202.4225,2.422548,0
1.856714,195.1594,202.4203,2.420277,0
1.866092,195.1640,202.4180,2.418008,0
1.875469,195.1685,202.4157,2.415741,0
1.884846,195.1730,202.4135,2.413476,0
1.894224,195.1776,202.4112,2.411214,0
1.903601,195.1821,202.4090,2.408954,0
1.912978,195.1866,202.4067,2.406696,0
1.922356,195.1911,202.4044,2.404440,0
1.931733,195.1956,202.4022,2.402186,0
1.941110,195.2001,202.3999,2.399934,0
1.950488,195.2046,202.3977,2.397684,0
1.959865,195.2091,202.3954,2.395437,0
1.969242,195.2136,202.3932,2.393192,0
1.978620,195.2181,202.3909,2.390948,0
1.987997,195.2226,202.3887,2.388707,0
1.997374,195.2271,202.3865,2.386468,0
2.006752,195.2315,202.3842,2.384231,0
2.016129,195.2360,202.3820,2.381996,0
2.025506,195.2405,202.3798,2.379764,0
2.034884,195.2449,202.3775,2.377533,0
2.044261,195.2494,202.3753,2.375305,0
2.053638,195.2538,202.3731,2.373078,0
2.063016,195.2583,202.3709,2.370854,0
2.072393,195.2627,202.3686,2.368632,0
2.081770,195.2672,202.3664,2.366411,0
2.091148,195.2716,202.3642,2.364193,0
2.100525,195.2760,202.3620,2.361977,0
2.109902,195.2805,202.3598,2.359763,0
2.119280,195.2849,202.3576,2.357552,0
2.128657,195.2893,202.3553,2.355342,0
2.138035,195.2937,202.3531,2.353134,0
2.147412,195.2981,202.3509,2.350929,0
2.156789,195.3025,202.3487,2.348725,0
2.166167,195.3070,202.3465,2.346524,0
2.175544,195.3114,202.3443,2.344324,0
2.184921,195.3157,202.3421,2.342127,0
2.194299,195.3201,202.3399,2.339932,0
2.203676,195.3245,202.3377,2.337738,0
2.213053,195.3289,202.3355,2.335547,0
2.222431,195.3333,202.3334,2.333358,0
2.231808,195.3377,202.3312,2.331171,0
2.241185,195.3420,202.3290,2.328986,0
2.250563,195.3464,202.3268,2.326803,0
2.259940,195.3508,202.3246,2.324622,0
2.269317,195.3551,202.3224,2.322443,0
2.278695,195.3595,202.3203,2.320267,0
2.288072,195.3638,202.3181,2.318092,0
2.297449,195.3682,202.3159,2.315919,0
2.306827,195.3725,202.3137,2.313748,0
2.316204,195.3768,202.3116,2.311580,0
2.325581,195.3812,202.3094,2.309413,0
2.334959,195.3855,202.3072,2.307248,0
2.344336,195.3898,202.3051,2.305086,0
2.353713,195.3941,202.3029,2.302925,0
2.363091,195.3985,202.3008,2.300767,0
2.372468,195.4028,202.2986,2.298610,0
2.381845,195.4071,202.2965,2.296456,0
2.391223,195.4114,202.2943,2.294303,0
2.400600,195.4157,202.2922,2.292153,0
2.409977,195.4200,202.2900,2.290004,0
2.419355,195.4243,202.2879,2.287858,0
2.428732,195.4286,202.2857,2.285714,0
2.438110,195.4329,202.2836,2.283571,0
2.447487,195.4371,202.2814,2.281431,0
2.456864,195.4414,202.2793,2.279292,0
2.466242,195.4457,202.2772,2.277156,0
2.475619,195.4500,202.2750,2.275022,0
2.484996,195.4542,202.2729,2.272889,0
2.494374,195.4585,202.2708,2.270759,0
2.503751,195.4627,202.2686,2.268631,0
2.513128,195.4670,202.2665,2.266504,0
2.522506,195.4712,202.2644,2.264380,0
2.531883,195.4755,202.2623,2.262257,0
2.541260,195.4797,202.2601,2.260137,0
2.550638,195.4840,202.2580,2.258019,0
2.560015,195.4882,202.2559,2.255902,0
2.569392,195.4924,202.2538,2.253788,0
2.578770,195.4966,202.2517,2.251675,0
2.588147,195.5009,202.2496,2.249565,0
2.597524,195.5051,202.2475,2.247456,0
2.606902,195.5093,202.2453,2.245350,0
2.616279,195.5135,202.2432,2.243245,0
2.625656,195.5177,202.2411,2.241143,0
2.635034,195.5219,202.2390,2.239042,0
2.644411,195.5261,202.2369,2.236943,0
2.653788,195.5303,202.2348,2.234847,0
2.663166,195.5345,202.2328,2.232752,0
2.672543,195.5387,202.2307,2.230659,0
2.681920,195.5429,202.2286,2.228569,0
2.691298,195.5470,202.2265,2.226480,0
2.700675,195.5512,202.2244,2.224393,0
2.710053,195.5554,202.2223,2.222308,0
2.719430,195.5596,202.2202,2.220225,0
2.728807,195.5637,202.2181,2.218144,0
2.738185,195.5679,202.2161,2.216065,0
2.747562,195.5720,202.2140,2.213988,0
2.756939,195.5762,202.2119,2.211913,0
2.766317,195.5803,202.2098,2.209839,0
2.775694,195.5845,202.2078,2.207768,0
2.785071,195.5886,202.2057,2.205699,0
2.794449,195.5927,202.2036,2.203631,0
2.803826,195.5969,202.2016,2.201566,0
2.813203,195.6010,202.1995,2.199502,0
2.822581,195.6051,202.1974,2.197441,0
2.831958,195.6092,202.1954,2.195381,0
2.841335,195.6134,202.1933,2.193323,0
2.850713,195.6175,202.1913,2.191268,0
2.860090,195.6216,202.1892,2.189214,0
2.869467,195.6257,202.1872,2.187162,0
2.878845,195.6298,202.1851,2.185112,0
2.888222,195.6339,202.1831,2.183064,0
2.897599,195.6380,202.1810,2.181018,0
2.906977,195.6421,202.1790,2.178973,0
2.916354,195.6461,202.1769,2.176931,0
2.925731,195.6502,202.1749,2.174891,0
2.935109,195.6543,202.1729,2.172852,0
2.944486,195.6584,202.1708,2.170815,0
2.953863,195.6624,202.1688,2.168781,0
2.963241,195.6665,202.1667,2.166748,0
2.972618,195.6706,202.1647,2.164717,0
2.981995,195.6746,202.1627,2.162688,0
2.991373,195.6787,202.1607,2.160661,0
3.000750,195.6827,202.1586,2.158636,0
3.010128,195.6868,202.1566,2.156613,0
3.019505,195.6908,202.1546,2.154591,0
3.028882,195.6949,202.1526,2.152572,0
3.038260,195.6989,202.1506,2.150554,0
3.047637,195.7029,202.1485,2.148538,0
3.057014,195.7070,202.1465,2.146525,0
3.066392,195.7110,202.1445,2.144513,0
3.075769,195.7150,202.1425,2.142503,0
3.085146,195.7190,202.1405,2.140494,0
3.094524,195.7230,202.1385,2.138488,0
3.103901,195.7270,202.1365,2.136484,0
3.113278,195.7310,202.1345,2.134481,0
3.122656,195.7350,202.1325,2.132481,0
3.132033,195.7390,202.1305,2.130482,0
3.141410,195.7430,202.1285,2.128485,0
3.150788,195.7470,202.1265,2.126490,0
3.160165,195.7510,202.1245,2.124497,0
3.169542,195.7550,202.1225,2.122506,0
3.178920,195.7590,202.1205,2.120516,0
3.188297,195.7629,202.1185,2.118529,0
3.197674,195.7669,202.1165,2.116543,0
3.207052,195.7709,202.1146,2.114559,0
3.216429,195.7748,202.1126,2.112577,0
3.225806,195.7788,202.1106,2.110597,0
3.235184,195.7828,202.1086,2.108619,0
3.244561,195.7867,202.1066,2.106642,0
3.253938,195.7907,202.1047,2.104668,0
3.263316,195.7946,202.1027,2.102695,0
3.272693,195.7986,202.1007,2.100724,0
3.282071,195.8025,202.0988,2.098755,0
3.291448,195.8064,202.0968,2.096788,0
3.300825,195.8104,202.0948,2.094823,0
3.310203,195.8143,202.0929,2.092859,0
3.319580,195.8182,202.0909,2.090898,0
3.328957,195.8221,202.0889,2.088938,0
3.338335,195.8260,202.0870,2.086980,0
